source,target,type,subtype
fu:fd78464d,fu:af1b2d2f,protein_protein_interaction,activation
fu:fd78464d,fu:eda4acea,protein_protein_interaction,activation|indirect effect
fu:9274968e,fu:c2e0c4ae,protein_protein_interaction,activation
fu:c2e0c4ae,fu:622bda7f,protein_protein_interaction,activation
fu:af1b2d2f,fu:d7d24a4c,protein_protein_interaction,activation
fu:622bda7f,fu:4d346bcc,protein_protein_interaction,activation|indirect effect
fu:4d346bcc,fu:d7d24a4c,protein_protein_interaction,binding/association
fu:0d329cca,fu:727cb396,protein_protein_interaction,activation
fu:cb603216,fu:d0ad993a,protein_protein_interaction,activation
fu:d0ad993a,fu:ee804b17,protein_protein_interaction,activation|phosphorylation
fu:d0ad993a,fu:4781eb07,protein_protein_interaction,activation|phosphorylation
fu:8cf03d63,fu:416a5afd,protein_protein_interaction,activation|phosphorylation
fu:8cf03d63,fu:5e60e9dc,protein_protein_interaction,activation|phosphorylation
fu:0c8f7154,fu:416a5afd,protein_protein_interaction,activation|phosphorylation
fu:0c8f7154,fu:5e60e9dc,protein_protein_interaction,activation|phosphorylation
fu:cb603216,fu:210acb65,protein_protein_interaction,
MIMAT0000680,FAS,mir_regulates_mrna,
MIMAT0002875,FAS,mir_regulates_mrna,
MIMAT0000456,FGFR2,mir_regulates_mrna,
MIMAT0002819,KIT,mir_regulates_mrna,
MIMAT0019025,KIT,mir_regulates_mrna,
MIMAT0000075,KIT,mir_regulates_mrna,
MIMAT0000263,KIT,mir_regulates_mrna,
MIMAT0000278,KIT,mir_regulates_mrna,
MIMAT0000456,KIT,mir_regulates_mrna,
MIMAT0000232,MET,mir_regulates_mrna,
MIMAT0000243,MET,mir_regulates_mrna,
MIMAT0004563,MET,mir_regulates_mrna,
MIMAT0000646,MET,mir_regulates_mrna,
MIMAT0019042,MET,mir_regulates_mrna,
MIMAT0019799,MET,mir_regulates_mrna,
MIMAT0000073,NF1,mir_regulates_mrna,
