Entrez ID,Gene Symbol,Oncogene Score,p-value,LogFC
27005,USP21,0.100976,2.25e-10,3.02245
131873,COL6A6,0.0806612,2.27e-10,-4.75479
29058,TMEM230,0.00905471,2.54e-10,4.04444
7357,UGCG,0.0988164,2.56e-10,3.50397
5025,P2RX4,0.0396075,2.56e-10,3.17815
23336,SYNM,0.0481069,2.71e-10,-5.41064
57509,MTUS1,0.0914577,2.72e-10,3.14132
5921,RASA1,0.441467,2.73e-10,3.73973
7050,TGIF1,0.107652,2.82e-10,3.00366
9743,ARHGAP32,0.00504519,2.87e-10,3.51882
6422,SFRP1,0.125747,2.96e-10,-5.483
6289,SAA2,0.0673797,3.01e-10,-4.42334
56920,SEMA3G,0.0169881,3.19e-10,-3.74141
3131,HLF,0.460782,3.19e-10,-3.40028
6856,SYPL1,0.0324411,3.24e-10,3.18912
800,CALD1,0.0813949,3.46e-10,3.51999
397,ARHGDIB,0.0841741,3.46e-10,4.04667
57645,POGK,0.0132716,3.56e-10,3.27008
55604,CARMIL1,,3.58e-10,3.41386
3914,LAMB3,0.030057,3.8e-10,-3.42308
26227,PHGDH,0.108117,3.81e-10,-3.10093
199870,FAM76A,,3.95e-10,3.35158
131578,LRRC15,0.106515,3.95e-10,5.59577
427,ASAH1,0.10018,4.09e-10,4.40735
7020,TFAP2A,0.184746,4.15e-10,3.24927
101930400,LOC101930400,,4.25e-10,-4.99417
84612,PARD6B,0.0162253,4.26e-10,3.7185
81031,SLC2A10,0.0150711,4.36e-10,3.65197
7559,ZNF12,0.00147832,4.58e-10,3.40416
100528017,SAA2-SAA4,,4.92e-10,-5.39198
9194,SLC16A7,0.0806691,4.92e-10,-3.38514
51433,ANAPC5,,4.94e-10,3.35999
1164,CKS2,0.0996817,5.13e-10,3.2655
152015,ROPN1B,0.00526138,5.28e-10,-4.17631
100616113,MIR4680,,5.38e-10,3.22671
100190986,LOC100190986,,5.38e-10,4.60916
25912,C1orf43,,5.55e-10,4.60238
64853,AIDA,,5.68e-10,3.16544
7756,ZNF207,0.00798703,5.79e-10,3.23882
163,AP2B1,0.0345544,5.84e-10,3.21121
26112,CCDC69,0.10651,6.71e-10,-3.65477
55353,LAPTM4B,0.111161,6.81e-10,3.86593
