#node1,node2,node1_string_id,node2_string_id,combined_score
ATP7B,DCTN4,9606.ENSP00000242839,9606.ENSP00000414906,0.65
B3GNT2,MUCL1,9606.ENSP00000305595,9606.ENSP00000311364,0.4
B3GNT2,MUC1,9606.ENSP00000305595,9606.ENSP00000484824,0.488
BGN,NID2,9606.ENSP00000327336,9606.ENSP00000216286,0.49
BGN,TGFB1,9606.ENSP00000327336,9606.ENSP00000221930,0.978
BGN,COMP,9606.ENSP00000327336,9606.ENSP00000222271,0.724
BGN,COL1A1,9606.ENSP00000327336,9606.ENSP00000225964,0.974
BGN,PRRX1,9606.ENSP00000327336,9606.ENSP00000239461,0.492
BGN,THBS1,9606.ENSP00000327336,9606.ENSP00000260356,0.779
BGN,COL8A1,9606.ENSP00000327336,9606.ENSP00000261037,0.5
BGN,LOXL1,9606.ENSP00000327336,9606.ENSP00000261921,0.727
BGN,VCAN,9606.ENSP00000327336,9606.ENSP00000265077,0.951
BGN,TIMP3,9606.ENSP00000327336,9606.ENSP00000266085,0.571
BGN,COL1A2,9606.ENSP00000327336,9606.ENSP00000297268,0.938
BGN,COL12A1,9606.ENSP00000327336,9606.ENSP00000325146,0.739
BGN,FBN1,9606.ENSP00000327336,9606.ENSP00000325527,0.784
BGN,COL8A2,9606.ENSP00000327336,9606.ENSP00000380901,0.538
BGN,PTN,9606.ENSP00000327336,9606.ENSP00000341170,0.544
BGN,COL11A1,9606.ENSP00000327336,9606.ENSP00000359114,0.577
BGN,COL10A1,9606.ENSP00000327336,9606.ENSP00000327368,0.695
BGN,COL5A1,9606.ENSP00000327336,9606.ENSP00000360882,0.774
BGN,COL5A2,9606.ENSP00000327336,9606.ENSP00000364000,0.807
BGN,POSTN,9606.ENSP00000327336,9606.ENSP00000369071,0.83
BGN,COL6A1,9606.ENSP00000327336,9606.ENSP00000355180,0.86
BGN,MFAP2,9606.ENSP00000327336,9606.ENSP00000364685,0.886
BHLHE40,CSNK2A1,9606.ENSP00000256495,9606.ENSP00000217244,0.42
BHLHE40,FOS,9606.ENSP00000256495,9606.ENSP00000306245,0.462
BMPR1B,TGFB1,9606.ENSP00000401907,9606.ENSP00000221930,0.511
BMPR1B,INHBA,9606.ENSP00000401907,9606.ENSP00000242208,0.464
BMPR1B,TF,9606.ENSP00000401907,9606.ENSP00000385834,0.55
BMPR1B,RGMA,9606.ENSP00000401907,9606.ENSP00000452126,0.927
BTNL9,PLIN1,9606.ENSP00000330200,9606.ENSP00000300055,0.469
BTNL9,MUC1,9606.ENSP00000330200,9606.ENSP00000484824,0.592
BZW1,TRARG1,9606.ENSP00000394316,9606.ENSP00000329548,0.447
BZW1,CDC5L,9606.ENSP00000394316,9606.ENSP00000360532,0.479
C1S,CD46,9606.ENSP00000385035,9606.ENSP00000313875,0.619
C1S,FN1,9606.ENSP00000385035,9606.ENSP00000346839,0.468
C1S,COL6A1,9606.ENSP00000385035,9606.ENSP00000355180,0.571
C1S,COL5A2,9606.ENSP00000385035,9606.ENSP00000364000,0.525
C1S,C4B,9606.ENSP00000385035,9606.ENSP00000415941,0.993
C4B,CD46,9606.ENSP00000415941,9606.ENSP00000313875,0.998
C4B,FN1,9606.ENSP00000415941,9606.ENSP00000346839,0.407
C4B,CFD,9606.ENSP00000415941,9606.ENSP00000468253,0.427
C4B,CFB,9606.ENSP00000415941,9606.ENSP00000416561,0.948
CA12,ESR1,9606.ENSP00000178638,9606.ENSP00000405330,0.403
CA12,CA4,9606.ENSP00000178638,9606.ENSP00000300900,0.64
CA4,WTAP,9606.ENSP00000300900,9606.ENSP00000351141,0.407
CA4,SLC4A4,9606.ENSP00000300900,9606.ENSP00000393557,0.822
CACNA1D,PPP2R5C,9606.ENSP00000288139,9606.ENSP00000412324,0.65
CACNA1D,GNB1,9606.ENSP00000288139,9606.ENSP00000367872,0.651
CACNA1D,OXTR,9606.ENSP00000288139,9606.ENSP00000324270,0.674
CACNA1D,KCNN4,9606.ENSP00000288139,9606.ENSP00000496939,0.833
