col1,col2
fu:a6568a8e7f6d1d00af363f369b76cf7feb3a146655301de5892db4c0b5b9d267,NR4A1
fu:72ceeb85a358ba2e0b395a84a66a9098b065bb75cf51517e41ef59c6cf3c06f1,MAPK7
fu:3603721dc6150b3ca8c6dee07a03605d58860c1bea34f99d1269155bd1bcb71f,MAP2K5
fu:6e5b131afbce3d1df86f03296fcb9d52e8eba109bb0c90b3290459f6e2c6836b,NLK
fu:faeeef089143868dcab1f96199246470dd349ff96a58fa9ae19a4f46b9fdc600,CDC25B
fu:a491a4a93c7a5b3545e9138d2491ad01aebad799f785ad34cfde0e3b6cdab6e2,RPS6KA4
fu:a491a4a93c7a5b3545e9138d2491ad01aebad799f785ad34cfde0e3b6cdab6e2,RPS6KA5
fu:77f06af5a0aab9e9dcb0edc3d729129a9955288974a01b527e11f1b450404679,MAPKAPK3
fu:77f06af5a0aab9e9dcb0edc3d729129a9955288974a01b527e11f1b450404679,MAPKAPK2
fu:060db228d4ecce344877a67f06d280345ff592f6c987f9e36e3628a14360a506,ATF4
fu:d44cc061253604eb6006e72d5980a409463e18b72b14c3c9fcd4c1e50b74f48a,MEF2C
fu:f88cbaa674b264c130f58bfe224fa3b91eb284cef051b2c90b90249863426945,MAX
fu:41ffad66a200d33fabc1300aec6b68a20722f16eaeb15a4a189a6dc9b2a040cf,DDIT3
fu:8f13ff740df8095b99cce4b96dd9ff0b69db89d0c1930b81f2219908d8d98448,ELK4
fu:9fbdb9acadbc502fde41fa15cad72ee6c4b1735b385386ad455a3be9da20d4e7,TP53
fu:f06860e53c0a9a25dbf66d3e003b358f514b58b6583679bf02ad7c4b05b32be6,ELK1
fu:314abd3f1a80d90d99e4588c090a9959f880fd18a1404d488ee74ee59050e73c,ATF2
fu:8a37282185578ee5dea62e0f494f6b10a5324536fe7884549618835209cbca40,MAPK14
fu:8a37282185578ee5dea62e0f494f6b10a5324536fe7884549618835209cbca40,MAPK11
fu:8a37282185578ee5dea62e0f494f6b10a5324536fe7884549618835209cbca40,MAPK13
fu:8a37282185578ee5dea62e0f494f6b10a5324536fe7884549618835209cbca40,MAPK12
fu:bf7ffc74f2f067253366827c8046f7ac095347fc168b9c8d7b787b11097e36c8,PPP5C
fu:b1f6c3beda88e32db9a1c91b46f83767c39b7e91b9c28ac1cc808047932f86ed,MAP2K6
fu:e32b8fece975aa413d0c66ef57c2c6431dbdc9d9c00d928e5bc622afc850176a,MAP2K3
fu:14f7c1fd37f9324fbeb68563c0c7c5517c8e147f56bbfbb62481da30ba59a2c5,DUSP10
fu:14f7c1fd37f9324fbeb68563c0c7c5517c8e147f56bbfbb62481da30ba59a2c5,DUSP2
fu:14f7c1fd37f9324fbeb68563c0c7c5517c8e147f56bbfbb62481da30ba59a2c5,DUSP4
fu:14f7c1fd37f9324fbeb68563c0c7c5517c8e147f56bbfbb62481da30ba59a2c5,DUSP5
fu:14f7c1fd37f9324fbeb68563c0c7c5517c8e147f56bbfbb62481da30ba59a2c5,DUSP7
fu:14f7c1fd37f9324fbeb68563c0c7c5517c8e147f56bbfbb62481da30ba59a2c5,DUSP8
fu:14f7c1fd37f9324fbeb68563c0c7c5517c8e147f56bbfbb62481da30ba59a2c5,DUSP9
fu:14f7c1fd37f9324fbeb68563c0c7c5517c8e147f56bbfbb62481da30ba59a2c5,DUSP16
