mRNA,miR
RALGPS2,MIMAT0000076
HOXA9,MIMAT0000076
FAM126B,MIMAT0000076
ANKRD46,MIMAT0000076
CKAP5,MIMAT0000076
LPGAT1,MIMAT0000076
ERP44,MIMAT0000076
DDHD2,MIMAT0000076
SATB1,MIMAT0000076
PPP1R3B,MIMAT0000076
MDM4,MIMAT0000076
DNM1L,MIMAT0000076
NUFIP2,MIMAT0000076
NFIA,MIMAT0000076
FMR1,MIMAT0000076
ZNF217,MIMAT0000076
EXOC5,MIMAT0000076
ATF2,MIMAT0000076
THBS1,MIMAT0000076
EIF4EBP2,MIMAT0000076
B3GNT5,MIMAT0000076
SOCS4,MIMAT0000076
PLAT,MIMAT0000076
BNIP2,MIMAT0000076
OXTR,MIMAT0000076
ATP2B4,MIMAT0000076
ZNF207,MIMAT0000076
YOD1,MIMAT0000278
SSX2IP,MIMAT0000278
ERBB4,MIMAT0000278
