pathway_id,pathway_position_id,pathway_position_type,functional_unit_id,functional_unit_logic,gene_id,entry_id,evidence,notes
path:hsa05224,257,node,FU_13786009,AND,hsa:8326,257,KGML,protein complex inferred from group
path:hsa05224,258,node,FU_5a998403,AND,hsa:1019,258,KGML,protein complex inferred from group
path:hsa05224,258,node,FU_5a998403,AND,hsa:1021,258,KGML,protein complex inferred from group
path:hsa05224,258,node,FU_5a998403,AND,hsa:595,258,KGML,protein complex inferred from group
path:hsa05224,6,node,FU_1e80a761,OR,hsa:2099,6,KGML,isozyme group
path:hsa05224,6,node,FU_1e80a761,OR,hsa:2100,6,KGML,isozyme group
path:hsa05224,7,node,FU_f16d901c,OR,hsa:2099,7,KGML,isozyme group
path:hsa05224,7,node,FU_f16d901c,OR,hsa:2100,7,KGML,isozyme group
path:hsa05224,11,node,FU_f1d15d84,SINGLE,hsa:1956,11,KGML,
path:hsa05224,15,node,FU_97fe9302,OR,hsa:2099,15,KGML,isozyme group
path:hsa05224,15,node,FU_97fe9302,OR,hsa:2100,15,KGML,isozyme group
path:hsa05224,16,node,FU_2eb71cc0,OR,hsa:8202,16,KGML,isozyme group
path:hsa05224,16,node,FU_2eb71cc0,OR,hsa:8648,16,KGML,isozyme group
path:hsa05224,17,node,FU_1d840388,OR,hsa:3265,17,KGML,isozyme group
path:hsa05224,17,node,FU_1d840388,OR,hsa:3845,17,KGML,isozyme group
path:hsa05224,17,node,FU_1d840388,OR,hsa:4893,17,KGML,isozyme group
path:hsa05224,18,node,FU_0ff55d3f,OR,hsa:369,18,KGML,isozyme group
path:hsa05224,18,node,FU_0ff55d3f,OR,hsa:5894,18,KGML,isozyme group
path:hsa05224,18,node,FU_0ff55d3f,OR,hsa:673,18,KGML,isozyme group
path:hsa05224,19,node,FU_90b342b7,OR,hsa:5604,19,KGML,isozyme group
path:hsa05224,19,node,FU_90b342b7,OR,hsa:5605,19,KGML,isozyme group
path:hsa05224,20,node,FU_733d81e2,OR,hsa:5594,20,KGML,isozyme group
path:hsa05224,20,node,FU_733d81e2,OR,hsa:5595,20,KGML,isozyme group
path:hsa05224,25,node,FU_12f6cdfd,OR,hsa:25759,25,KGML,isozyme group
path:hsa05224,25,node,FU_12f6cdfd,OR,hsa:399694,25,KGML,isozyme group
path:hsa05224,25,node,FU_12f6cdfd,OR,hsa:53358,25,KGML,isozyme group
path:hsa05224,25,node,FU_12f6cdfd,OR,hsa:6464,25,KGML,isozyme group
path:hsa05224,26,node,FU_d82735c8,SINGLE,hsa:2885,26,KGML,
path:hsa05224,27,node,FU_1c28365c,OR,hsa:6654,27,KGML,isozyme group
path:hsa05224,27,node,FU_1c28365c,OR,hsa:6655,27,KGML,isozyme group
