Entrez ID,Gene Symbol,Oncogene Score,LogFC,p-value,Adj p-value,Pathway Matrix Organization,Pathway Degradation Matrix,Pathway Collagen Formation
393,ARHGAP4,0.0541131,-0.831926,8.36941e-05,0.000257827,0,0,0
3931,LCAT,0.0782819,-0.840423,0.000333978,0.000885212,0,0,0
6518,SLC2A5,0.0792658,0.00155793,0.991409,0.993505,0,0,0
7089,TLE2,0,-1.06647,0.000522874,0.00132583,0,0,0
6666,SOX12,0.0982536,0.726174,0.000737894,0.00180911,0,0,0
9825,SPATA2,0.118508,0.127988,0.237259,0.310837,0,0,0
9818,NUPL1,0,1.07461,1.66055e-06,7.62941e-06,0,0,0
80301,PLEKHO2,0,-0.685041,0.000168539,0.000480741,0,0,0
2348,FOLR1,0.107139,-4.20614,1.31096e-12,5.0934e-11,0,0,0
4360,MRC1,0.109947,-1.52538,0.00217147,0.00478288,0,0,0
10964,IFI44L,0.0141095,2.8826,0.000101938,0.000308285,0,0,0
9308,CD83,0.0345824,0.898725,0.00106062,0.00251075,0,0,0
23649,POLA2,0.584563,-0.455256,0.000272082,0.000737516,0,0,0
8425,LTBP4,0.0487868,-1.97108,1.33303e-09,1.59694e-08,1,0,0
410,ARSA,0.00917934,0.458061,0.07822,0.118467,0,0,0
3832,KIF11,0.135623,1.94144,2.45927e-05,8.47984e-05,0,0,0
240,ALOX5,0.12163,0.725415,0.00338222,0.00717838,0,0,0
9762,LZTS3,0,-1.13969,7.04757e-08,4.79046e-07,0,0,0
5082,PDCL,0.00425017,0.406768,0.00234281,0.00513246,0,0,0
8321,FZD1,0.0787804,0.154089,0.531668,0.606767,0,0,0
7637,ZNF84,0,0.808179,1.23121e-05,4.56287e-05,0,0,0
23641,LDOC1,0.0039558,0.781612,0.00449954,0.00923683,0,0,0
667,DST,0.033242,-3.82869,9.81289e-05,0.000297956,1,0,1
2619,GAS1,0.0595638,0.65581,0.0143344,0.0260791,0,0,0
23659,PLA2G15,0.0203347,-0.386455,0.0980437,0.144176,0,0,0
1478,CSTF2,0.0121359,1.03503,3.33983e-12,1.07449e-10,0,0,0
5810,RAD1,0.00468134,2.95377,5.4072e-16,9.37687e-14,0,0,0
6567,SLC16A2,0.0188539,-0.111131,0.740226,0.792172,0,0,0
1909,EDNRA,0.0518276,2.4194,8.35688e-08,5.52207e-07,0,0,0
7075,TIE1,0.0204523,-1.71225,0.000375714,0.000981023,0,0,0
5803,PTPRZ1,0.117619,-1.93318,1.52312e-09,1.78555e-08,0,0,0
2919,CXCL1,0.136009,-1.01658,5.02659e-05,0.000161715,0,0,0
2669,GEM,0.0472246,1.99451,0.000186578,0.000526,0,0,0
9640,ZNF592,0,-0.270903,0.108573,0.15759,0,0,0
7701,ZNF142,0,0.20105,0.0804095,0.121292,0,0,0
4312,MMP1,0.308272,0.928233,0.0628641,0.097729,1,1,0
5091,PC,0.0202513,-2.33569,2.70524e-08,2.07185e-07,0,0,0
5877,RABIF,0.0662166,0.276,0.0703339,0.107984,0,0,0
26578,OSTF1,0.00497583,1.3913,5.3702e-06,2.16513e-05,0,0,0
79095,C9orf16,0,1.29904,0.000196895,0.000552564,0,0,0
7862,BRPF1,0.0841451,-0.565485,1.15693e-05,4.31574e-05,0,0,0
7122,CLDN5,0.0852363,-2.78448,8.57049e-12,2.38965e-10,0,0,0
5287,PIK3C2B,0.107546,-0.599613,0.00127007,0.00294623,0,0,0
10040,TOM1L1,0.342599,1.81702,4.21607e-09,4.23993e-08,0,0,0
