#node1,node2,node1_string_id,node2_string_id,combined_score
AKT1,PIK3R3,9606.ENSP00000451828,9606.ENSP00000262741,0.962
AKT1,MAP2K2,9606.ENSP00000451828,9606.ENSP00000262948,0.593
AKT1,MAPK3,9606.ENSP00000451828,9606.ENSP00000263025,0.957
AKT1,PIK3CA,9606.ENSP00000451828,9606.ENSP00000263967,0.998
AKT1,ATF2,9606.ENSP00000451828,9606.ENSP00000264110,0.799
AKT1,KRT10,9606.ENSP00000451828,9606.ENSP00000269576,0.692
AKT1,CREB3L4,9606.ENSP00000451828,9606.ENSP00000271889,0.733
AKT1,EGFR,9606.ENSP00000451828,9606.ENSP00000275493,0.792
AKT1,GRM1,9606.ENSP00000451828,9606.ENSP00000282753,0.421
AKT1,CALM3,9606.ENSP00000451828,9606.ENSP00000291295,0.802
AKT1,NOS3,9606.ENSP00000451828,9606.ENSP00000297494,0.997
AKT1,HSP90B1,9606.ENSP00000451828,9606.ENSP00000299767,0.981
AKT1,MAP2K1,9606.ENSP00000451828,9606.ENSP00000302486,0.49
AKT1,CALML6,9606.ENSP00000451828,9606.ENSP00000304643,0.713
AKT1,FOS,9606.ENSP00000451828,9606.ENSP00000306245,0.746
AKT1,ITPR1,9606.ENSP00000451828,9606.ENSP00000306253,0.981
AKT1,CALML3,9606.ENSP00000451828,9606.ENSP00000315299,0.719
AKT1,PGR,9606.ENSP00000451828,9606.ENSP00000325120,0.683
AKT1,CREB3L2,9606.ENSP00000451828,9606.ENSP00000329140,0.7
AKT1,SP1,9606.ENSP00000451828,9606.ENSP00000329357,0.682
AKT1,HSP90AA1,9606.ENSP00000451828,9606.ENSP00000335153,0.999
AKT1,ATF4,9606.ENSP00000451828,9606.ENSP00000336790,0.826
AKT1,CREB3,9606.ENSP00000451828,9606.ENSP00000342136,0.742
AKT1,ESR2,9606.ENSP00000451828,9606.ENSP00000343925,0.684
AKT1,CREB5,9606.ENSP00000451828,9606.ENSP00000350359,0.727
AKT1,KRT19,9606.ENSP00000451828,9606.ENSP00000355124,0.483
AKT1,NRAS,9606.ENSP00000451828,9606.ENSP00000358548,0.815
AKT1,GNAS,9606.ENSP00000451828,9606.ENSP00000360141,0.524
AKT1,JUN,9606.ENSP00000451828,9606.ENSP00000360266,0.991
AKT1,HSP90AB1,9606.ENSP00000451828,9606.ENSP00000360609,0.999
AKT1,SRC,9606.ENSP00000451828,9606.ENSP00000362680,0.995
AKT1,ITPR3,9606.ENSP00000451828,9606.ENSP00000363435,0.967
AKT1,ATF6B,9606.ENSP00000451828,9606.ENSP00000364349,0.714
AKT1,HSPA1B,9606.ENSP00000451828,9606.ENSP00000364801,0.557
AKT1,PIK3CD,9606.ENSP00000451828,9606.ENSP00000366563,0.976
AKT1,CALML5,9606.ENSP00000451828,9606.ENSP00000369689,0.719
AKT1,KRT18,9606.ENSP00000451828,9606.ENSP00000373489,0.471
AKT1,AKT2,9606.ENSP00000451828,9606.ENSP00000375892,0.991
AKT1,GRB2,9606.ENSP00000451828,9606.ENSP00000376345,0.907
AKT1,BCL2,9606.ENSP00000451828,9606.ENSP00000381185,0.993
AKT1,SOS1,9606.ENSP00000451828,9606.ENSP00000384675,0.765
AKT1,CREB1,9606.ENSP00000451828,9606.ENSP00000387699,0.965
AKT1,SHC1,9606.ENSP00000451828,9606.ENSP00000401303,0.771
AKT1,RAF1,9606.ENSP00000451828,9606.ENSP00000401888,0.992
AKT1,ESR1,9606.ENSP00000451828,9606.ENSP00000405330,0.913
AKT1,HRAS,9606.ENSP00000451828,9606.ENSP00000407586,0.896
AKT1,CALML4,9606.ENSP00000451828,9606.ENSP00000419081,0.713
AKT1,PIK3R1,9606.ENSP00000451828,9606.ENSP00000428056,0.995
AKT1,HSPA8,9606.ENSP00000451828,9606.ENSP00000437125,0.85
AKT1,FKBP5,9606.ENSP00000451828,9606.ENSP00000444810,0.964
AKT1,CREB3L1,9606.ENSP00000451828,9606.ENSP00000481956,0.706
AKT1,AKT3,9606.ENSP00000451828,9606.ENSP00000500582,0.958
AKT1,PIK3CB,9606.ENSP00000451828,9606.ENSP00000501150,0.992
AKT2,FKBP4,9606.ENSP00000375892,9606.ENSP00000001008,0.563
AKT2,CREB3L3,9606.ENSP00000375892,9606.ENSP00000078445,0.683
AKT2,MAPK1,9606.ENSP00000375892,9606.ENSP00000215832,0.929
AKT2,PIK3R2,9606.ENSP00000375892,9606.ENSP00000222254,0.963
AKT2,KRAS,9606.ENSP00000375892,9606.ENSP00000256078,0.646
AKT2,PIK3R3,9606.ENSP00000375892,9606.ENSP00000262741,0.953
AKT2,MAPK3,9606.ENSP00000375892,9606.ENSP00000263025,0.962
AKT2,PIK3CA,9606.ENSP00000375892,9606.ENSP00000263967,0.984
AKT2,ATF2,9606.ENSP00000375892,9606.ENSP00000264110,0.7
AKT2,CREB3L4,9606.ENSP00000375892,9606.ENSP00000271889,0.675
AKT2,EGFR,9606.ENSP00000375892,9606.ENSP00000275493,0.612
AKT2,CALM3,9606.ENSP00000375892,9606.ENSP00000291295,0.568
AKT2,NOS3,9606.ENSP00000375892,9606.ENSP00000297494,0.925
AKT2,HSP90B1,9606.ENSP00000375892,9606.ENSP00000299767,0.932
AKT2,CALML6,9606.ENSP00000375892,9606.ENSP00000304643,0.706
AKT2,CALML3,9606.ENSP00000375892,9606.ENSP00000315299,0.712
AKT2,PGR,9606.ENSP00000375892,9606.ENSP00000325120,0.6
