Node ID,Node Description,Node Type
MESH:D009456,Neurofibromatosis 1,disease
MESH:C563523,"Neurofibromatosis, Familial Spinal",disease
MESH:C565611,"Dyskeratosis Congenita, Autosomal Recessive",disease
MESH:C580062,Epidermal Nevus,disease
MESH:C537387,Neurocutaneous melanosis,disease
MESH:C548084,Noonan Syndrome 6,disease
MESH:C572845,"Thyroid cancer, follicular",disease
MESH:C536819,"Melanocytic nevus syndrome, congenital",disease
MESH:D058495,Sotos Syndrome,disease
MESH:C567018,"Mental Retardation, Autosomal Recessive 5",disease
MESH:D015473,"Leukemia, Promyelocytic, Acute",disease
MESH:C563657,"Fanconi Anemia, Complementation Group N",disease
MESH:D017681,Hypereosinophilic Syndrome,disease
MESH:C562978,"Fibromatosis, Congenital Generalized",disease
MESH:C536653,Penttinen-Aula syndrome,disease
MESH:C536275,Fahr's disease,disease
MESH:C565054,"Myeloproliferative Disorder, Chronic, with Eosinophilia",disease
MESH:C536729,Zunich neuroectodermal syndrome,disease
MESH:C567863,"Congenital Lipomatous Overgrowth, Vascular Malformations, and Epidermal Nevi",disease
MESH:D017492,"Keratosis, Seborrheic",disease
MESH:D010051,Ovarian Neoplasms,disease
MESH:C537327,SHORT syndrome,disease
MESH:C562938,Metachondromatosis,disease
MESH:D044542,LEOPARD Syndrome,disease
MESH:C548083,Noonan Syndrome 5,disease
MESH:C537117,"LEOPARD syndrome, 2",disease
MESH:D012175,Retinoblastoma,disease
MESH:D018288,"Carcinoma, Small Cell",disease
MESH:D011038,Rothmund-Thomson Syndrome,disease
MESH:C535288,Rapadilino syndrome,disease
MESH:C536788,Craniosynostosis radial aplasia syndrome,disease
MESH:C563681,Aicardi-Goutieres Syndrome 4,disease
MESH:C563683,Aicardi-Goutieres Syndrome 3,disease
MESH:C567254,Diamond-Blackfan Anemia 7,disease
MESH:C567280,Diamond-Blackfan Anemia 5,disease
MESH:C567650,Diamond-Blackfan Anemia 9,disease
MESH:C535323,Chromosome 5q Deletion Syndrome,disease
MESH:C567281,Diamond-Blackfan Anemia 4,disease
MESH:D029503,"Anemia, Diamond-Blackfan",disease
MESH:C536355,"Anemia, Diamond-Blackfan, 3",disease
MESH:C567649,Diamond-Blackfan Anemia 10,disease
MESH:C567253,Diamond-Blackfan Anemia 8,disease
MESH:C563324,"Platelet Disorder, Familial, with Associated Myeloid Malignancy",disease
MESH:C566473,"Tumoral Calcinosis, Normophosphatemic, Familial",disease
MESH:C563233,Myelocerebellar Disorder,disease
MESH:C535608,Aicardi-Goutieres syndrome 5,disease
MESH:C565467,"Indifference to Pain, Congenital, Autosomal Recessive",disease
MESH:C563475,Paroxysmal Extreme Pain Disorder,disease
MESH:D004916,Erythromelalgia,disease
MESH:C536632,Schinzel-Giedion syndrome,disease
MESH:D052536,"Niemann-Pick Disease, Type A",disease
MESH:D052537,"Niemann-Pick Disease, Type B",disease
MESH:C548082,Noonan Syndrome 4,disease
MESH:C548032,Legius syndrome,disease
MESH:D016114,"Ichthyosis, X-Linked",disease
MESH:D000361,Agammaglobulinemia,disease
MESH:C564915,"Osteopetrosis, Autosomal Recessive 1",disease
MESH:C565079,"Dyskeratosis Congenita, Autosomal Dominant",disease
MESH:D054990,Idiopathic Pulmonary Fibrosis,disease
MESH:D016864,Li-Fraumeni Syndrome,disease
MESH:D000077274,Nasopharyngeal Carcinoma,disease
MESH:C565972,"Adrenocortical Carcinoma, Hereditary",disease
MESH:D020288,"Papilloma, Choroid Plexus",disease
MESH:C566007,"Vasculopathy, Retinal, With Cerebral Leukodystrophy",disease
MESH:D008180,"Lupus Erythematosus, Systemic",disease
MESH:C535924,Chilblain lupus 1,disease
MESH:C536329,Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy,disease
MESH:D014923,Wiskott-Aldrich Syndrome,disease
MESH:C564539,"Neutropenia, Severe Congenital, X-Linked",disease
MESH:C564052,Thrombocytopenia 1,disease
25,ABL1,gene
51816,ADA2,gene
103,ADAR,gene
210,ALAD,gene
324,APC,gene
23092,ARHGAP26,gene
171023,ASXL1,gene
472,ATM,gene
546,ATRX,gene
581,BAX,gene
613,BCR,gene
641,BLM,gene
673,BRAF,gene
675,BRCA2,gene
699,BUB1,gene
701,BUB1B,gene
811,CALR,gene
867,CBL,gene
1029,CDKN2A,gene
1050,CEBPA,gene
9702,CEP57,gene
11200,CHEK2,gene
26511,CHIC2,gene
1387,CREBBP,gene
1736,DKC1,gene
134218,DNAJC21,gene
1788,DNMT3A,gene
51626,DYNC2LI1,gene
1991,ELANE,gene
2033,EP300,gene
2065,ERBB3,gene
2120,ETV6,gene
2121,EVC,gene
132884,EVC2,gene
2162,F13A1,gene
2165,F13B,gene
2175,FANCA,gene
2322,FLT3,gene
2623,GATA1,gene
2624,GATA2,gene
2672,GFI1,gene
2782,GNB1,gene
10456,HAX1,gene
3417,IDH1,gene
64135,IFIH1,gene
10320,IKZF1,gene
3717,JAK2,gene
3815,KIT,gene
3845,KRAS,gene
3981,LIG4,gene
4026,LPP,gene
8216,LZTR1,gene
5604,MAP2K1,gene
8930,MBD4,gene
4210,MEFV,gene
4292,MLH1,gene
8028,MLLT10,gene
4352,MPL,gene
4436,MSH2,gene
4615,MYD88,gene
4683,NBN,gene
4763,NF1,gene
55505,NOP10,gene
