Gene.ID,Gene.symbol,logFC
3689,ITGB2,0.25966
928,CD9,0.414755
570,BAAT,0.648855
405754,HERV-FRD,0.280381
9659,PDE4DIP,0.539455
23253,ANKRD12,0.216034
887,CCKBR,0.278304
973,CD79A,0.351465
5452,POU2F2,0.194545
55565,ZNF821,0.282591
51232,CRIM1,0.276328
23499,MACF1,0.182809
253260,RICTOR,0.293794
9770,RASSF2,0.230098
7267,TTC3,0.18705
23034,SAMD4A,0.295593
91526,ANKRD44,0.268696
3456,IFNB1,0.639453
283450,C12orf51,0.311441
8942,KYNU,0.487839
91860,CALML4,0.203523
4086,SMAD1,0.451537
10133,OPTN,0.260281
54715,A2BP1,0.336671
6505,SLC1A1,0.50705
22898,DENND3,0.30495
56061,UBFD1,0.301526
3631,INPP4A,0.217997
29881,NPC1L1,0.489774
4842,NOS1,0.196762
57578,KIAA1409,0.728222
