Entrez ID,Gene Symbol,LogFC,p-value,Oncogene Score
10865,ARID5A,-2.36252,1.89472e-09,0.0219838
23235,SIK2,-2.4276,2.12094e-06,0.0923359
91966,CXorf40A,2.35755,1.63885e-08,
53405,CLIC5,-3.0875,0.000114285,0.00469643
23114,NFASC,-2.99828,1.98427e-05,0.0431347
25928,SOSTDC1,-2.41196,1.20134e-06,0.107526
53844,COPG2IT1,-5.00983,2.38336e-05,0.019716
50486,G0S2,-4.31229,6.68603e-06,0.103873
25891,PAMR1,-3.00685,1.19639e-08,0.0311043
256949,KANK3,-2.84164,1.27934e-12,0.00800177
9413,FAM189A2,-3.24189,1.29476e-11,
131578,LRRC15,5.66485,3.11523e-05,0.106515
2774,GNAL,-2.97109,3.03931e-09,0.0241017
27236,ARFIP1,3.04057,1.44571e-05,
9073,CLDN8,-2.90606,6.84741e-08,0.104802
891,CCNB1,3.09462,4.4399e-05,0.115409
5380,PMS2L2,2.63281,1.72528e-08,
349152,DPY19L2P2,-3.17125,0.000472031,
2747,GLUD2,2.79208,7.01261e-05,0.00406538
79184,BRCC3,2.51936,9.83924e-05,0.0808055
4499,MT1M,-2.66858,2.19137e-05,0.0753806
51155,HN1,2.34914,0.00065985,
11031,RAB31,2.73877,0.000232775,0.0994236
51280,GOLM1,2.64792,2.58823e-07,0.0789339
51495,PTPLAD1,4.9128,5.46457e-08,
5832,ALDH18A1,3.00961,3.71687e-11,0.0156901
7328,UBE2H,4.04792,5.12665e-08,0.00441443
51714,SELT,2.78953,2.37192e-07,
10927,SPIN1,2.46112,3.35547e-07,0.0871172
51133,KCTD3,2.74302,1.04862e-06,0.0064311
28977,MRPL42,3.4344,3.20236e-11,0.00602199
51164,DCTN4,3.33281,5.92265e-10,0.11123
55706,NDC1,2.5254,4.0777e-06,0.00406135
55198,APPL2,2.39944,2.45219e-10,0.0166927
57645,POGK,2.58255,1.69599e-08,0.0132716
81539,SLC38A1,2.67391,1.54607e-05,0.102864
79016,DDA1,3.04498,2.76585e-06,0.0370011
55851,PSENEN,4.13138,2.11335e-08,0.112708
79956,ERMP1,3.26651,7.5607e-11,0.017469
55055,ZWILCH,2.96443,3.27483e-05,0.00535891
27005,USP21,2.31862,8.67345e-06,0.100976
51330,TNFRSF12A,2.9909,2.7472e-05,0.104898
23528,ZNF281,3.05,3.50017e-06,0.0522901
51397,COMMD10,2.7271,8.08361e-09,
26585,GREM1,3.83779,0.00028909,0.115046
