genes,Entrez ID,Gene Symbol,GSM1116180,GSM1116181,GSM1116184,GSM1116187,GSM1116190,GSM1116191,GSM1116194,GSM1116195,GSM1116199,GSM1116200,GSM1116203,GSM1116204,GSM1116205,GSM1116208,GSM1116209,GSM1116213,GSM1116216,GSM1116217,GSM1116220,GSM1116221,GSM1116222,GSM1116223,GSM1116224,GSM1116225,GSM1116228,GSM1116231,GSM1116232,GSM1116234,GSM1116235
228688_at,,AC009120.6,4.69234,4.127,4.99639,4.93168,5.25422,3.63772,4.90058,5.55983,5.61406,4.88242,5.04342,4.70821,5.18369,5.61201,5.03356,3.89246,4.81591,5.01192,4.66906,4.73908,3.90378,5.95402,5.29105,4.63117,5.60262,3.8968,5.11057,5.12996,5.89224
228689_at,126328,NDUFA11,3.06735,3.29417,3.54187,3.87163,3.61315,3.13413,3.10074,3.27851,4.00655,3.26484,3.48232,3.17506,3.75998,3.46945,3.42902,3.46342,3.31938,3.32956,3.63561,3.63103,3.61039,3.47318,3.50342,3.47859,4.43499,3.43638,3.70644,3.32804,3.28468
228690_s_at,126328,NDUFA11,10.5817,10.8935,10.5642,11.3593,10.921,11.1974,11.0955,10.8921,11.1599,10.31,11.4331,11.1038,11.3321,10.8922,11.0912,10.6354,10.9731,11.2414,11.0329,10.7876,10.421,11.3084,11.2568,11.0313,11.4802,10.7091,10.3049,10.9594,11.041
228692_at,80243,PREX2,3.6403,3.4429,3.52951,3.30881,4.94485,3.25744,4.53429,5.46166,3.66788,3.72874,4.97016,5.35272,5.36923,3.39106,5.32741,4.73101,3.063,3.13036,3.76484,4.59771,3.05727,5.64189,3.78585,4.08257,3.18814,4.48724,3.22965,3.32422,3.21301
228693_at,152137,CCDC50,6.83982,7.69686,7.91022,6.75103,8.84736,6.1334,8.37803,8.03508,7.08582,7.44371,6.36796,7.02486,6.5518,8.18033,7.31509,7.67816,7.72672,7.64037,5.97209,8.87832,7.38338,5.72645,6.58678,4.78744,8.05581,7.40311,8.46524,5.96043,6.86901
228694_at,9716,AQR,8.96646,8.57422,8.3909,9.12728,8.46483,8.44919,8.31384,8.91025,7.97967,8.49833,8.07443,8.2122,9.34498,8.59224,8.38251,9.17788,8.97785,8.62871,8.26451,9.06891,7.41145,8.55875,8.73214,8.16493,9.32296,7.22889,9.08063,7.36487,7.47717
228695_at,254778,C8orf46,3.33108,3.33745,3.4119,3.33351,3.20972,3.30421,3.36888,3.35236,3.26265,3.33169,3.67703,3.68922,3.68411,3.81816,3.77721,3.71862,3.26861,3.29547,3.5222,3.43155,3.42595,3.34672,3.35482,3.35703,3.27372,3.48438,3.47689,3.37543,3.35084
228696_at,85414,SLC45A3,2.54919,2.96902,2.89131,2.58435,2.97014,2.47079,2.7243,2.44053,2.55741,2.38178,3.99352,2.9432,2.62597,2.58166,2.75154,2.40608,2.77612,2.77859,2.5732,2.28215,2.91348,4.25003,3.03527,2.58336,2.99494,2.82205,3.47698,2.3682,2.66832
228697_at,135114,HINT3,4.53182,6.07698,3.08368,5.96846,7.53157,5.53388,6.28957,2.88395,4.3463,7.99014,7.83771,5.4507,3.27274,5.40194,3.60173,7.26688,3.5441,2.82541,6.31023,6.47968,5.09125,5.57015,4.62635,4.58712,6.73565,4.65762,7.3722,4.4701,5.72855
228698_at,83595,SOX7,6.49421,6.41965,8.08083,6.22576,7.89396,6.62333,7.98263,7.91013,8.4647,7.74599,6.59361,8.69374,8.01132,7.1758,8.16404,6.71345,7.2314,6.39344,8.17515,7.83438,6.59137,7.85122,6.73104,7.80803,5.99862,6.59307,7.13255,6.68302,7.64687
228700_at,159013,CXorf38,7.25507,7.35401,6.61443,7.14835,7.14206,7.26954,7.10309,6.91229,7.32474,6.81529,8.57605,7.64922,7.47004,7.10274,7.50234,7.3826,6.80641,6.83764,6.06932,7.209,7.75675,7.95673,7.5192,8.68837,6.88557,6.80091,6.73391,7.00212,7.29866
228702_at,378805,LINC-PINT,6.79639,6.8292,7.74285,7.78553,6.95761,5.34336,6.41884,5.16585,8.45196,7.01152,6.17082,7.43112,6.23261,4.90376,6.43458,6.28218,7.48493,7.07925,6.50383,6.68214,5.89876,7.22873,5.9823,7.64152,7.32344,7.57022,7.06019,6.07859,7.80004
228703_at,283208,P4HA3,4.7863,4.77807,5.32599,5.65792,4.58199,5.06895,6.25523,3.95974,4.51741,3.63582,4.55706,4.80909,3.48229,5.96408,5.79615,4.38938,5.64969,3.91012,5.56642,3.87689,4.90506,5.31511,4.66774,2.89471,5.06934,5.92575,4.78804,4.18568,4.88466
228705_at,147968,CAPN12,3.56377,3.79934,3.5511,3.5392,3.79619,4.93702,3.6402,3.59791,3.87829,4.78149,5.4415,3.54628,4.51163,3.91339,3.54554,3.59955,3.63843,3.63328,3.92554,3.69608,5.05634,3.53148,3.65906,3.74082,3.54282,4.98562,3.64478,3.70576,3.92756
