Gene Symbol Origin,Gene Symbol Target,Correlation,p-value,FDR
CDC42EP5,PID1,0.79,3.43359e-07,0.000165107
COL6A1,FAP,0.79,3.43359e-07,0.000165107
COMP,RUNX2,0.79,3.43359e-07,0.000165107
AOC3,EBF1,0.79,3.53285e-07,0.000167669
AOC3,BTNL9,0.79,3.53285e-07,0.000167669
ARFIP1,RIOK3,0.79,3.53285e-07,0.000167669
UBE2T,ZWINT,0.79,3.53285e-07,0.000167669
SERPINH1,VCAN,0.79,3.53285e-07,0.000167669
CALU,CTHRC1,0.79,3.53285e-07,0.000167669
CCM2L,ITGA7,0.789,3.63471e-07,0.000169923
DMD,MIR143HG,0.789,3.63471e-07,0.000169923
PRRX1,SPOCK1,0.789,3.63471e-07,0.000169923
TMEM230,YIPF5,0.789,3.63471e-07,0.000169923
CDC5L,RRM1,0.789,3.63471e-07,0.000169923
CDH11,PPAPDC1A,0.789,3.63471e-07,0.000169923
BAG2,VCAN,0.789,3.63471e-07,0.000169923
FNDC1,RUNX2,0.789,3.73922e-07,0.000174437
ABCA8,AOC3,0.788,3.84646e-07,0.000178299
FXYD1,TNXA,0.788,3.84646e-07,0.000178299
COL5A1,LOXL1,0.788,3.84646e-07,0.000178299
C16orf72,VWF,-0.788,3.95647e-07,0.000181476
F2RL2,RP3-428L16.2,0.788,3.95647e-07,0.000181476
PPP1R14A,SYNM,0.788,3.95647e-07,0.000181476
SCARB2,SCOC,0.788,3.95647e-07,0.000181476
ADH1B,CD36,0.788,3.95647e-07,0.000181476
DDA1,RAB5A,0.787,4.06934e-07,0.000185874
COL12A1,NID2,0.787,4.06934e-07,0.000185874
B3GNT2,GNAI3,0.787,4.18512e-07,0.000190764
MATR3,RIOK3,0.786,4.30388e-07,0.000194556
CCL14,SOD3,0.786,4.30388e-07,0.000194556
COL3A1,COL8A2,0.786,4.30388e-07,0.000194556
BGN,SPOCK1,0.786,4.30388e-07,0.000194556
CCT2,DCTD,0.786,4.42569e-07,0.000199239
CAPRIN1,SLC30A5,0.786,4.42569e-07,0.000199239
OCIAD1,PSMD10,0.785,4.55062e-07,0.000204443
CREB1,SRSF3,0.785,4.67874e-07,0.000208062
CREB1,RHOA,0.785,4.67874e-07,0.000208062
ADAM12,NID2,0.785,4.67874e-07,0.000208062
CALU,LRRC15,0.785,4.67874e-07,0.000208062
COL12A1,POSTN,0.785,4.67874e-07,0.000208062
CCT2,STIP1,0.784,4.81013e-07,0.000210062
GABRP,SYNM,0.784,4.81013e-07,0.000210062
CD46,DICER1,0.784,4.81013e-07,0.000210062
ARFIP1,NIPBL,0.784,4.81013e-07,0.000210062
C2orf40,DST,0.784,4.81013e-07,0.000210062
PID1,PLAC9,0.784,4.81013e-07,0.000210062
FAP,LOXL1,0.784,4.81013e-07,0.000210062
COL5A1,THY1,0.784,4.81013e-07,0.000210062
CDH11,POSTN,0.784,4.81013e-07,0.000210062
LOC100506558,PIGR,0.784,4.94485e-07,0.000213812
CDH11,TIMP3,0.784,4.94485e-07,0.000213812
TSN,UBE2N,0.784,4.94485e-07,0.000213812
PSMD10,TMEM230,0.784,4.94485e-07,0.000213812
ACVR1C,TUSC5,0.784,4.94485e-07,0.000213812
MEOX1,RASIP1,0.783,5.08299e-07,0.00021892
ID4,PGM5,0.783,5.08299e-07,0.00021892
AGPAT9,GPR160,-0.783,5.22461e-07,0.000223261
DCTN4,RAB5A,0.783,5.22461e-07,0.000223261
NIPBL,RAB5A,0.783,5.22461e-07,0.000223261
LRRC15,SPOCK1,0.783,5.22461e-07,0.000223261
ADAMTS9-AS2,PLAC9,0.782,5.36981e-07,0.000225936
CFD,ENPP2,0.782,5.36981e-07,0.000225936
GNAI3,MRPL42,0.782,5.36981e-07,0.000225936
CFL1,GNAI3,0.782,5.36981e-07,0.000225936
ARPC5,COMMD10,0.782,5.36981e-07,0.000225936
GDI2,GOLGA7,0.782,5.36981e-07,0.000225936
ADIPOQ,CD36,0.782,5.36981e-07,0.000225936
COL5A2,LOXL1,0.782,5.36981e-07,0.000225936
PID1,RGMA,0.782,5.51866e-07,0.000229987
ABCA8,CFD,0.782,5.51866e-07,0.000229987
BRCC3,PIK3C2A,0.782,5.51866e-07,0.000229987
ADAM12,CDH11,0.782,5.51866e-07,0.000229987
COL10A1,FBN1,0.782,5.51866e-07,0.000229987
ENTPD1,GATA3,-0.781,5.67123e-07,0.000235003
EBF1,SCN4B,0.781,5.67123e-07,0.000235003
NIPBL,SRSF3,0.781,5.67123e-07,0.000235003
LOXL1,LRRC15,0.781,5.82763e-07,0.000240119
ADAM12,COL8A2,0.781,5.82763e-07,0.000240119
ASPN,FBN1,0.781,5.82763e-07,0.000240119
CREB1,CTB-50L17.7,0.78,5.98792e-07,0.000244422
COMMD10,RHOA,0.78,5.98792e-07,0.000244422
COL8A2,CTHRC1,0.78,5.98792e-07,0.000244422
CDH11,SERPINH1,0.78,5.98792e-07,0.000244422
ADAM12,BGN,0.78,5.98792e-07,0.000244422
ABCA8,GPX3,0.78,6.1522e-07,0.00025066
CYB5R3,GNAI3,0.779,6.32055e-07,0.000255144
BRCC3,SRSF3,0.779,6.32055e-07,0.000255144
ARFIP1,CAPRIN1,0.779,6.32055e-07,0.000255144
MAPRE1,PRPF31,0.779,6.32055e-07,0.000255144
BAG2,COL5A1,0.779,6.32055e-07,0.000255144
SCN3A,TNPO1,-0.779,6.49307e-07,0.000260188
SRSF3,TMX1,0.779,6.49307e-07,0.000260188
OSTC,SERPINH1,0.779,6.49307e-07,0.000260188
MEOX1,SEMA3G,0.779,6.49307e-07,0.000260188
CCL14,ITGA7,0.778,6.66985e-07,0.000264846
DMD,MID1,0.778,6.66985e-07,0.000264846
SLC30A5,TMX1,0.778,6.66985e-07,0.000264846
ADAM12,C1QTNF6,0.778,6.66985e-07,0.000264846
COL3A1,NID2,0.778,6.66985e-07,0.000264846
CAPRIN1,TSN,0.778,6.85098e-07,0.000269108
BRCC3,RHOB,0.778,6.85098e-07,0.000269108
NIPBL,PIK3C2A,0.778,6.85098e-07,0.000269108
CD36,PLIN4,0.778,6.85098e-07,0.000269108
SEMA3G,SOD3,0.778,6.85098e-07,0.000269108
CDH11,SPOCK1,0.778,6.85098e-07,0.000269108
NAPA,SELT,0.777,7.03656e-07,0.000273452
FAR1,GDI2,0.777,7.03656e-07,0.000273452
PLAUR,RUNX1-IT1,0.777,7.03656e-07,0.000273452
CDK1,UBE2T,0.777,7.03656e-07,0.000273452
PPAPDC1A,THY1,0.777,7.03656e-07,0.000273452
ADAM12,GJB2,0.777,7.03656e-07,0.000273452
CILP,DNM3OS,0.777,7.22667e-07,0.000275458
ADAMTS9-AS2,SYNM,0.777,7.22667e-07,0.000275458
BTNL9,SAA1,0.777,7.22667e-07,0.000275458
CDC5L,TSN,0.777,7.22667e-07,0.000275458
CREB1,GOLGA7,0.777,7.22667e-07,0.000275458
COL8A2,FAP,0.777,7.22667e-07,0.000275458
C1QTNF6,COL5A1,0.777,7.22667e-07,0.000275458
ADAM12,LRRC15,0.777,7.22667e-07,0.000275458
FBN1,FKBP14,0.777,7.22667e-07,0.000275458
CALU,COL10A1,0.777,7.22667e-07,0.000275458
COL12A1,FN1,0.777,7.22667e-07,0.000275458
ADAMTS9,F2RL2,0.776,7.42144e-07,0.000278994
KIT,SYNM,0.776,7.42144e-07,0.000278994
GDI2,SRSF3,0.776,7.42144e-07,0.000278994
INMT,MEOX1,0.776,7.42144e-07,0.000278994
PEAR1,SOD3,0.776,7.42144e-07,0.000278994
ADAM12,C1QTNF3,0.776,7.42144e-07,0.000278994
BGN,COL12A1,0.776,7.42144e-07,0.000278994
POSTN,PPAPDC1A,0.776,7.42144e-07,0.000278994
CD300LG,CIDEA,0.776,7.62094e-07,0.000282609
RASIP1,SCN4B,0.776,7.62094e-07,0.000282609
MIR143HG,PLAC9,0.776,7.62094e-07,0.000282609
ASCC1,GNAI3,0.776,7.62094e-07,0.000282609
CERS2,ZNF281,0.776,7.62094e-07,0.000282609
DMD,IRX1,0.776,7.62094e-07,0.000282609
CRYAB,SYNM,0.776,7.62094e-07,0.000282609
CIDEC,G0S2,0.776,7.62094e-07,0.000282609
CDC42EP5,DNM3OS,0.775,7.8253e-07,0.000289207
ADAMTS9-AS2,NES,0.775,7.8253e-07,0.000289207
AKR1C2,EBF1,0.775,8.0346e-07,0.000294455
MIA,SYNM,0.775,8.0346e-07,0.000294455
ARFIP1,M6PR,0.775,8.0346e-07,0.000294455
FIGF,RELN,0.775,8.0346e-07,0.000294455
COL5A1,MFAP2,0.775,8.0346e-07,0.000294455
GOLGA7,TMEM230,0.774,8.24897e-07,0.000301302
CALU,COL8A2,0.774,8.24897e-07,0.000301302
CHRDL1,TNXA,0.774,8.4685e-07,0.000306253
CFD,MEOX1,0.774,8.4685e-07,0.000306253
M6PR,SCARB2,0.774,8.4685e-07,0.000306253
JAK1,THY1,0.774,8.4685e-07,0.000306253
FAP,NID2,0.774,8.4685e-07,0.000306253
CALU,SPOCK1,0.774,8.4685e-07,0.000306253
BTNL9,CD36,0.773,8.69331e-07,0.000312832
RIOK3,TMX1,0.773,8.69331e-07,0.000312832
GXYLT2,LOXL1,0.773,8.69331e-07,0.000312832
SERINC3,UEVLD,0.773,8.92351e-07,0.000319539
CCT2,SRSF3,0.773,8.92351e-07,0.000319539
ARF4,RAB1A,0.773,8.92351e-07,0.000319539
AOC3,CCL14,0.772,9.15922e-07,0.000326377
KIT,LOC100506558,0.772,9.15922e-07,0.000326377
ARPC5,GDI2,0.772,9.15922e-07,0.000326377
SCARB2,TAB2,0.772,9.40056e-07,0.000332809
OSTC,THY1,0.772,9.40056e-07,0.000332809
ABCA8,KLHL29,0.772,9.40056e-07,0.000332809
COL3A1,RUNX2,0.772,9.40056e-07,0.000332809
CDH11,PRRX1,0.771,9.64764e-07,0.000339906
CTNNA1,UEVLD,0.771,9.64764e-07,0.000339906
FN1,RUNX1-IT1,0.771,9.64764e-07,0.000339906
BRCC3,GLUL,0.771,9.90058e-07,0.000347141
MRPL42,SCARB2,0.771,9.90058e-07,0.000347141
FIGF,SAMD5,0.771,9.90058e-07,0.000347141
MIER3,TMX1,0.77,1.01595e-06,0.00035565
ADAMTS9-AS2,DMD,0.77,1.04246e-06,0.000362032
DMD,PALMD,0.77,1.04246e-06,0.000362032
EZR,RHOA,0.77,1.04246e-06,0.000362032
ARPC5,RHOA,0.77,1.04246e-06,0.000362032
ADAM12,LOXL1,0.77,1.04246e-06,0.000362032
GFPT1,SLC30A5,0.769,1.06959e-06,0.000367372
EIF4A2,PIK3C2A,0.769,1.06959e-06,0.000367372
B3GNT2,MRPL42,0.769,1.06959e-06,0.000367372
JAK1,NREP,0.769,1.06959e-06,0.000367372
CREB1,TMEM230,0.769,1.06959e-06,0.000367372
COL12A1,COMP,0.769,1.06959e-06,0.000367372
COL10A1,COL5A1,0.769,1.06959e-06,0.000367372
KLHL29,RGMA,0.769,1.09735e-06,0.000371084
ARFIP1,ATP6V1A,0.769,1.09735e-06,0.000371084
CCT2,COMMD10,0.769,1.09735e-06,0.000371084
BRCC3,SYPL1,0.769,1.09735e-06,0.000371084
C2orf40,KRT14,0.769,1.09735e-06,0.000371084
FXYD1,SOD3,0.769,1.09735e-06,0.000371084
CAPN3,VWF,0.769,1.09735e-06,0.000371084
FBN1,RUNX2,0.769,1.09735e-06,0.000371084
BGN,CDH11,0.769,1.09735e-06,0.000371084
FN1,MFAP2,0.769,1.09735e-06,0.000371084
ITGA7,SOD3,0.768,1.12577e-06,0.000378936
PGRMC1,RHOA,0.768,1.12577e-06,0.000378936
MIER3,RIOK3,0.768,1.12577e-06,0.000378936
ALDH1A2,CDC42EP5,0.768,1.14922e-06,0.000385758
NDRG2,SFRP1,0.768,1.15485e-06,0.000385758
BTNL9,CHRDL1,0.768,1.15485e-06,0.000385758
ENPP2,PLAC9,0.768,1.15485e-06,0.000385758
COL12A1,SPOCK1,0.768,1.15485e-06,0.000385758
LPHN3,SCN3A,-0.767,1.18462e-06,0.000393895
PPP2R5C,SAR1B,0.767,1.18462e-06,0.000393895
COL8A2,INHBA,0.767,1.18462e-06,0.000393895
CYB5R3,SAE1,0.767,1.21507e-06,0.000400371
RAB1A,RHOA,0.767,1.21507e-06,0.000400371
CCT2,PSMD10,0.767,1.21507e-06,0.000400371
EBF1,SOD3,0.767,1.21507e-06,0.000400371
C12orf75,DNM3OS,0.767,1.21507e-06,0.000400371
COL8A2,RUNX2,0.767,1.21507e-06,0.000400371
COL12A1,PRRX1,0.767,1.24623e-06,0.000409405
COL5A2,COMP,0.767,1.24623e-06,0.000409405
EDNRB,SAA1,0.766,1.27811e-06,0.000415511
CCM2L,ROBO4,0.766,1.27811e-06,0.000415511
HSPD1,LAMP1,0.766,1.27811e-06,0.000415511
RUNX1-IT1,TIMP3,0.766,1.27811e-06,0.000415511
ARFIP1,SEPT2,0.766,1.27811e-06,0.000415511
EDNRB,INMT,0.766,1.27811e-06,0.000415511
COL12A1,COL3A1,0.766,1.27811e-06,0.000415511
NID2,SCCPDH,-0.766,1.31073e-06,0.000420492
ATP6V1A,BZW1,0.766,1.31073e-06,0.000420492
ARFIP1,BRCC3,0.766,1.31073e-06,0.000420492
CCT2,UBE2N,0.766,1.31073e-06,0.000420492
AOC3,ITGA7,0.766,1.31073e-06,0.000420492
ADAMTS5,CDC42EP5,0.766,1.31073e-06,0.000420492
ENPP2,SEMA3G,0.766,1.31073e-06,0.000420492
COL10A1,THY1,0.766,1.31073e-06,0.000420492
COL12A1,VCAN,0.766,1.31073e-06,0.000420492
ENPP2,KLHL29,0.765,1.3441e-06,0.000430565
AKR1C3,RGMA,0.765,1.37823e-06,0.000438292
BIN1,RGMA,0.765,1.37823e-06,0.000438292
CDH11,CLIC4,0.765,1.37823e-06,0.000438292
PPAPDC1A,VCAN,0.765,1.37823e-06,0.000438292
ADAM12,GXYLT2,0.765,1.37823e-06,0.000438292
AOC3,CHRDL1,0.764,1.41315e-06,0.00044487
SCN4B,TNXA,0.764,1.41315e-06,0.00044487
CD46,SP1,0.764,1.41315e-06,0.00044487
ADH1C,ANKRD29,0.764,1.41315e-06,0.00044487
COMMD10,MRPL42,0.764,1.41315e-06,0.00044487
AOC3,GPX3,0.764,1.41315e-06,0.00044487
COL5A1,FN1,0.764,1.41315e-06,0.00044487
CCM2L,RASIP1,0.764,1.44887e-06,0.000453503
CTNNA1,SLC30A5,0.764,1.44887e-06,0.000453503
C12orf75,CPA3,0.764,1.44887e-06,0.000453503
CALU,COL6A1,0.764,1.44887e-06,0.000453503
ADAMTS5,ALDH1A2,0.763,1.47836e-06,0.000460328
ADAMTS9-AS2,LMOD1,0.763,1.4854e-06,0.000460328
SPOCK1,TIMP3,0.763,1.4854e-06,0.000460328
BRCC3,RAB5A,0.763,1.4854e-06,0.000460328
PIK3C2A,SCARB2,0.763,1.4854e-06,0.000460328
SPOCK1,THY1,0.763,1.4854e-06,0.000460328
FN1,SPOCK1,0.763,1.4854e-06,0.000460328
MEOX1,RGMA,0.763,1.52276e-06,0.00046793
CLIC4,NREP,0.763,1.52276e-06,0.00046793
DCTD,SCARB2,0.763,1.52276e-06,0.00046793
CLDN5,ENPP2,0.763,1.52276e-06,0.00046793
COL5A1,FNDC1,0.763,1.52276e-06,0.00046793
BGN,COL3A1,0.763,1.52276e-06,0.00046793
GFPT1,SAR1B,0.762,1.56097e-06,0.000473684
MRPL42,WAPAL,0.762,1.56097e-06,0.000473684
HNRNPF,NIPBL,0.762,1.56097e-06,0.000473684
SLC30A5,UBE2N,0.762,1.56097e-06,0.000473684
PDE9A,RASIP1,0.762,1.56097e-06,0.000473684
CRIP1,CRIP2,0.762,1.56097e-06,0.000473684
BAG2,CTHRC1,0.762,1.56097e-06,0.000473684
ADAM12,FNDC1,0.762,1.56097e-06,0.000473684
COL8A2,FN1,0.762,1.56097e-06,0.000473684
ABCA8,RASIP1,0.762,1.60004e-06,0.000482197
DMD,PLAC9,0.762,1.60004e-06,0.000482197
CTHRC1,PRRX1,0.762,1.60004e-06,0.000482197
C16orf72,RIOK3,0.762,1.60004e-06,0.000482197
COL8A2,VCAN,0.762,1.60004e-06,0.000482197
KDM5B,POGK,0.761,1.64e-06,0.000489519
SAE1,STIP1,0.761,1.64e-06,0.000489519
EZR,RAB5A,0.761,1.64e-06,0.000489519
AKR1C2,CD36,0.761,1.64e-06,0.000489519
ADAMTS5,EBF1,0.761,1.64e-06,0.000489519
CLDN5,MEOX1,0.761,1.64e-06,0.000489519
CALU,CDH11,0.761,1.64e-06,0.000489519
C1orf213,TUSC5,0.761,1.68086e-06,0.000496298
ITGA7,MEOX1,0.761,1.68086e-06,0.000496298
M6PR,TMX1,0.761,1.68086e-06,0.000496298
C1S,THY1,0.761,1.68086e-06,0.000496298
CTB-50L17.7,RRM1,0.761,1.68086e-06,0.000496298
ADH1B,FMO2,0.761,1.68086e-06,0.000496298
LMOD1,MID1,0.761,1.68086e-06,0.000496298
CALU,COL5A2,0.761,1.68086e-06,0.000496298
CKS2,KIAA0101,0.76,1.72263e-06,0.000503873
C2orf40,GABRP,0.76,1.72263e-06,0.000503873
CD9,RIOK3,0.76,1.72263e-06,0.000503873
LOXL1,PRRX1,0.76,1.72263e-06,0.000503873
CREB1,UEVLD,0.76,1.72263e-06,0.000503873
CCNB1,CENPU,0.76,1.72263e-06,0.000503873
C1QTNF3,LRRC15,0.76,1.72263e-06,0.000503873
LARP6,PID1,0.76,1.76535e-06,0.000513619
RAB1A,TMEM230,0.76,1.76535e-06,0.000513619
SLC2A13,TNFRSF19,0.76,1.76535e-06,0.000513619
LRRC15,VCAN,0.76,1.76535e-06,0.000513619
CD46,PIK3C2A,0.759,1.80901e-06,0.000524928
COL3A1,COMP,0.759,1.80901e-06,0.000524928
ALDH1A2,EBF1,0.759,1.82276e-06,0.000528216
AKR1C2,SOD3,0.759,1.85365e-06,0.000533635
EDNRB,RASIP1,0.759,1.85365e-06,0.000533635
ACVR1C,ALDH1L1,0.759,1.85365e-06,0.000533635
AKR1C2,AOC3,0.759,1.85365e-06,0.000533635
C1QTNF3,GJB2,0.759,1.85365e-06,0.000533635
CFD,CLDN5,0.758,1.89929e-06,0.00054249
C1S,OSTC,0.758,1.89929e-06,0.00054249
MAPRE1,PSMD10,0.758,1.89929e-06,0.00054249
GABRP,IRX1,0.758,1.89929e-06,0.00054249
COL6A1,THY1,0.758,1.89929e-06,0.00054249
COL3A1,PPAPDC1A,0.758,1.89929e-06,0.00054249
TSPAN31,YWHAE,0.758,1.94594e-06,0.000552926
KRT15,MAMDC2,0.758,1.94594e-06,0.000552926
C16orf72,CLIC4,0.758,1.94594e-06,0.000552926
ASCC1,SEPT2,0.758,1.94594e-06,0.000552926
GLUL,SP1,0.757,1.99362e-06,0.000565007
CTNNA1,DCTD,0.757,1.99362e-06,0.000565007
CCL14,VWF,0.757,2.04235e-06,0.000574354
BRCC3,CD46,0.757,2.04235e-06,0.000574354
CD46,GLUL,0.757,2.04235e-06,0.000574354
ARPC5,PSMD10,0.757,2.04235e-06,0.000574354
MIER3,RAB5A,0.757,2.04235e-06,0.000574354
COL12A1,FNDC1,0.757,2.04235e-06,0.000574354
DNAJB1,LAMP1,0.756,2.09216e-06,0.000586101
PSMD10,RHOA,0.756,2.09216e-06,0.000586101
HSP90AB1,UEVLD,0.756,2.09216e-06,0.000586101
CCL14,FABP4,0.756,2.14306e-06,0.000592771
DDX42,MAPRE1,0.756,2.14306e-06,0.000592771
SAMD5,WIF1,0.756,2.14306e-06,0.000592771
EZR,SYPL1,0.756,2.14306e-06,0.000592771
ARPC5,YIPF5,0.756,2.14306e-06,0.000592771
PSMD10,SRSF3,0.756,2.14306e-06,0.000592771
PSMD10,UBE2N,0.756,2.14306e-06,0.000592771
CLDN5,SEMA3G,0.756,2.14306e-06,0.000592771
CDH11,FKBP14,0.756,2.14306e-06,0.000592771
COL5A1,COMP,0.756,2.14306e-06,0.000592771
DEFB1,SOX10,0.756,2.15912e-06,0.000595708
AK094644,LINC00408,0.756,2.15912e-06,0.000595708
ADAMTS9-AS2,ID4,0.755,2.19508e-06,0.000601081
GNB1,SEPT2,0.755,2.19508e-06,0.000601081
ROBO4,SOD3,0.755,2.19508e-06,0.000601081
C1S,NREP,0.755,2.19508e-06,0.000601081
ARPC5,MIER3,0.755,2.19508e-06,0.000601081
AKR1C2,G0S2,0.755,2.19508e-06,0.000601081
RHOA,STIP1,0.755,2.24824e-06,0.000609534
BRCC3,FUS,0.755,2.24824e-06,0.000609534
COMMD10,GNAI3,0.755,2.24824e-06,0.000609534
DCTN4,EZR,0.755,2.24824e-06,0.000609534
DCTN4,SCOC,0.755,2.24824e-06,0.000609534
SAMD5,TNXA,0.755,2.24824e-06,0.000609534
INMT,PEAR1,0.755,2.24824e-06,0.000609534
FAP,THY1,0.755,2.24824e-06,0.000609534
BTNL9,TNXA,0.754,2.30255e-06,0.000619653
MATR3,SRSF3,0.754,2.30255e-06,0.000619653
C2orf40,DMD,0.754,2.30255e-06,0.000619653
RAB1A,SAR1B,0.754,2.30255e-06,0.000619653
PLAC9,SOD3,0.754,2.30255e-06,0.000619653
COL12A1,LOXL1,0.754,2.30255e-06,0.000619653
AKR1C2,MEOX1,0.754,2.35805e-06,0.000629172
C1QTNF3,TIMP3,0.754,2.35805e-06,0.000629172
CCT2,RAB5A,0.754,2.35805e-06,0.000629172
ABCA8,SEMA3G,0.754,2.35805e-06,0.000629172
ADAMTS9,CLDN5,0.754,2.35805e-06,0.000629172
FBN1,FNDC1,0.754,2.35805e-06,0.000629172
FN1,GJB2,0.754,2.35805e-06,0.000629172
SAA2-SAA4,SCN3A,-0.753,2.41476e-06,0.000638077
ATP6V1A,RIOK3,0.753,2.41476e-06,0.000638077
BRCC3,LOC100190986,0.753,2.41476e-06,0.000638077
ARF4,COMMD10,0.753,2.41476e-06,0.000638077
GABRP,NDRG2,0.753,2.41476e-06,0.000638077
CD9,RAB14,0.753,2.41476e-06,0.000638077
COL5A1,RUNX2,0.753,2.41476e-06,0.000638077
COL5A1,SPOCK1,0.753,2.41476e-06,0.000638077
ABCA8,SCN4B,0.753,2.47269e-06,0.000644819
CAPRIN1,TMX1,0.753,2.47269e-06,0.000644819
EZR,TSN,0.753,2.47269e-06,0.000644819
CYB5R3,THY1,0.753,2.47269e-06,0.000644819
KRT5,LAMB3,0.753,2.47269e-06,0.000644819
CIDEC,RBP4,0.753,2.47269e-06,0.000644819
ADAMTS9-AS2,MIR143HG,0.753,2.47269e-06,0.000644819
EDNRB,PPP1R14A,0.753,2.47269e-06,0.000644819
EDNRB,SEMA3G,0.753,2.47269e-06,0.000644819
ENPP2,SFRP1,0.753,2.47269e-06,0.000644819
COL10A1,FNDC1,0.753,2.47269e-06,0.000644819
ADH1B,SAMD5,0.752,2.53188e-06,0.000653246
ATP6V1A,TTPAL,0.752,2.53188e-06,0.000653246
BTNL9,CLDN5,0.752,2.53188e-06,0.000653246
DDA1,RHOA,0.752,2.53188e-06,0.000653246
NIPBL,SETD5,0.752,2.53188e-06,0.000653246
CCT2,MIER3,0.752,2.53188e-06,0.000653246
ADAMTS5,PID1,0.752,2.53188e-06,0.000653246
CLDN5,PEAR1,0.752,2.53188e-06,0.000653246
SERINC3,TMEM50B,0.752,2.53188e-06,0.000653246
BZW1,UEVLD,0.752,2.59234e-06,0.000665706
HSPB2,SYNPO2,0.752,2.59234e-06,0.000665706
DMD,SYNM,0.752,2.59234e-06,0.000665706
CTHRC1,LOXL1,0.752,2.59234e-06,0.000665706
KLHL13,MIR143HG,0.751,2.65411e-06,0.00067759
POGK,RNF115,0.751,2.65411e-06,0.00067759
INHBA,LRRC15,0.751,2.65411e-06,0.00067759
MRPL42,RHOA,0.751,2.65411e-06,0.00067759
CDH11,FN1,0.751,2.65411e-06,0.00067759
DMD,FMO2,0.751,2.7172e-06,0.000685696
BZW1,PSMD10,0.751,2.7172e-06,0.000685696
ADAMTS9-AS2,EBF1,0.751,2.7172e-06,0.000685696
HSPB2,SFRP1,0.751,2.7172e-06,0.000685696
RAB5A,STIP1,0.751,2.7172e-06,0.000685696
DDA1,PSMD10,0.751,2.7172e-06,0.000685696
CLIC4,PRRX1,0.751,2.7172e-06,0.000685696
CDC42EP5,LMOD1,0.751,2.7172e-06,0.000685696
BGN,DNM3OS,0.751,2.7172e-06,0.000685696
BGN,FNDC1,0.751,2.7172e-06,0.000685696
DCTD,DNAJB1,0.75,2.78164e-06,0.000697133
C2orf40,MAMDC2,0.75,2.78164e-06,0.000697133
TIMP3,TRIM59,0.75,2.78164e-06,0.000697133
ID4,PID1,0.75,2.78164e-06,0.000697133
FAP,VCAN,0.75,2.78164e-06,0.000697133
LOXL1,MFAP2,0.75,2.78164e-06,0.000697133
AOC3,SOD3,0.75,2.84745e-06,0.000707951
AKR1C2,CFD,0.75,2.84745e-06,0.000707951
FAR1,RAB5A,0.75,2.84745e-06,0.000707951
INHBA,SERPINH1,0.75,2.84745e-06,0.000707951
ALOX5AP,YWHAH,0.75,2.84745e-06,0.000707951
EBF1,ID4,0.75,2.84745e-06,0.000707951
CDH11,THY1,0.75,2.84745e-06,0.000707951
CAPRIN1,GNB1,0.749,2.91467e-06,0.000718945
ENPP2,TNXA,0.749,2.91467e-06,0.000718945
ANKH,INHBA,0.749,2.91467e-06,0.000718945
CREB1,DCTN4,0.749,2.91467e-06,0.000718945
DMD,KLHL13,0.749,2.91467e-06,0.000718945
MEOX1,PLAC9,0.749,2.91467e-06,0.000718945
FKBP14,LOXL1,0.749,2.91467e-06,0.000718945
CHRDL1,FMO2,0.749,2.98332e-06,0.000730934
STK38,YWHAH,0.749,2.98332e-06,0.000730934
RAB1A,SCOC,0.749,2.98332e-06,0.000730934
COMMD10,CREB1,0.749,2.98332e-06,0.000730934
C1QTNF3,FNDC1,0.749,2.98332e-06,0.000730934
CTHRC1,THY1,0.749,2.98332e-06,0.000730934
CFD,INMT,0.748,3.05343e-06,0.000743945
PIK3C2A,SETD5,0.748,3.05343e-06,0.000743945
BZW1,PTP4A1,0.748,3.05343e-06,0.000743945
ADH1B,ADIPOQ,0.748,3.05343e-06,0.000743945
ASPN,CTHRC1,0.748,3.05343e-06,0.000743945
CLDN8,LMOD1,0.748,3.12502e-06,0.000757171
C2orf40,LOC100506558,0.748,3.12502e-06,0.000757171
LARP6,LMOD1,0.748,3.12502e-06,0.000757171
AOC3,FABP4,0.748,3.12502e-06,0.000757171
COL3A1,CTGF,0.748,3.12502e-06,0.000757171
GPR146,RIOK3,-0.747,3.19812e-06,0.000770615
SETD5,TTPAL,0.747,3.19812e-06,0.000770615
PPAPDC1A,PRRX1,0.747,3.19812e-06,0.000770615
CPA3,DNM3OS,0.747,3.19812e-06,0.000770615
FNDC1,LOXL1,0.747,3.19812e-06,0.000770615
ADAMTS9,ITIH5,0.747,3.27275e-06,0.000782567
CALU,STK38,0.747,3.27275e-06,0.000782567
RAB5A,YWHAE,0.747,3.27275e-06,0.000782567
DCTN4,MIER3,0.747,3.27275e-06,0.000782567
LRRN4CL,RSPO3,0.747,3.27275e-06,0.000782567
CCDC3,MID1,0.747,3.27275e-06,0.000782567
ADAM12,RUNX2,0.747,3.27275e-06,0.000782567
LINC00266-1,TCTN2,0.746,3.34896e-06,0.000796438
TSN,WAPAL,0.746,3.34896e-06,0.000796438
FABP4,GPX3,0.746,3.34896e-06,0.000796438
DSG2,EDEM3,0.746,3.34896e-06,0.000796438
FNDC1,GJB2,0.746,3.34896e-06,0.000796438
CFD,RASIP1,0.746,3.42677e-06,0.000806178
CRYAB,SFRP1,0.746,3.42677e-06,0.000806178
GABRP,KRT5,0.746,3.42677e-06,0.000806178
CLIC4,YWHAZ,0.746,3.42677e-06,0.000806178
