ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
204304_s_at	PROM1	prominin 1	-4.198	4.753
204312_x_at	CREB1	cAMP responsive element binding protein 1	3.308	10.746
204320_at	COL11A1	collagen type XI alpha 1 chain	7.319	14.178
204351_at	S100P	S100 calcium binding protein P	3.821	4.736
204364_s_at	REEP1	receptor accessory protein 1	3.792	7.027
204379_s_at	FGFR3	fibroblast growth factor receptor 3	3.772	6.56
204388_s_at	MAOA	monoamine oxidase A	-3.299	4.997
204401_at	KCNN4	potassium calcium-activated channel subfamily N member 4	-3.457	9.624
204426_at	TMED2	transmembrane p24 trafficking protein 2	4.044	13.152
204427_s_at	TMED2	transmembrane p24 trafficking protein 2	5.197	15.066
204437_s_at	FOLR1	folate receptor 1	-4.206	11.903
204455_at	DST	dystonin	-3.829	4.015
204508_s_at	CA12	carbonic anhydrase 12	4.197	11.081
204533_at	CXCL10	C-X-C motif chemokine ligand 10	4.699	6.963
204537_s_at	MIR452///MIR224///GABRE	microRNA 452///microRNA 224///gamma-aminobutyric acid type A receptor epsilon subunit	-3.345	4.854
204619_s_at	VCAN	versican	3.991	13.162
204620_s_at	VCAN	versican	3.333	13.689
204624_at	ATP7B	ATPase copper transporting beta	3.094	5.183
204654_s_at	TFAP2A	transcription factor AP-2 alpha	3.249	10.747
204667_at	FOXA1	forkhead box A1	3.822	18.683
204712_at	WIF1	WNT inhibitory factor 1	-5.576	9.823
204719_at	ABCA8	ATP binding cassette subfamily A member 8	-3.677	5.338
204734_at	KRT15	keratin 15	-4.712	6.924
204754_at	HLF	HLF, PAR bZIP transcription factor	-3.4	10.888
204881_s_at	UGCG	UDP-glucose ceramide glucosyltransferase	3.504	11.006
204894_s_at	AOC3	amine oxidase, copper containing 3	-3.633	10.278
204951_at	RHOH	ras homolog family member H	3.477	5.223
204971_at	CSTA	cystatin A	-3.129	5.265
204997_at	GPD1	glycerol-3-phosphate dehydrogenase 1	-4.012	8.732
205030_at	FABP7	fatty acid binding protein 7	-4.471	15.968
205044_at	GABRP	gamma-aminobutyric acid type A receptor pi subunit	-5.614	8.322
205114_s_at	CCL3L3///CCL3L1///CCL3	C-C motif chemokine ligand 3 like 3///C-C motif chemokine ligand 3 like 1///C-C motif chemokine ligand 3	3.382	10.016
205157_s_at	KRT17///JUP	keratin 17///junction plakoglobin	-3.147	6.413
205200_at	EXOSC7///CLEC3B	exosome component 7///C-type lectin domain family 3 member B	-4.231	12.832
205225_at	ESR1	estrogen receptor 1	3.534	7.888
