source,target,type,subtype
MIMAT0000076,ERP44,mir_to_gene,
MIMAT0000076,DDHD2,mir_to_gene,
MIMAT0000076,SATB1,mir_to_gene,
MIMAT0000076,PPP1R3B,mir_to_gene,
MIMAT0000076,MDM4,mir_to_gene,
MIMAT0000076,DNM1L,mir_to_gene,
MIMAT0000076,NUFIP2,mir_to_gene,
MIMAT0000076,NFIA,mir_to_gene,
MIMAT0000076,FMR1,mir_to_gene,
MIMAT0000076,ZNF217,mir_to_gene,
MIMAT0000076,EXOC5,mir_to_gene,
MIMAT0000076,ATF2,mir_to_gene,
MIMAT0000076,THBS1,mir_to_gene,
MIMAT0000076,EIF4EBP2,mir_to_gene,
MIMAT0000076,B3GNT5,mir_to_gene,
