MeSH Symptom Term	MeSH Disease Term	PubMed occurrence	TFIDF score
Asthenia	Osteoporosis, Postmenopausal	1	2.0632192510535368
Asthenia	Osteochondritis	1	2.0632192510535368
Asthenia	Spinal Diseases	1	2.0632192510535368
Asthenia	Kyphosis	1	2.0632192510535368
Asthenia	Spondylitis, Ankylosing	1	2.0632192510535368
Asthenia	Fasciitis	1	2.0632192510535368
Asthenia	Temporomandibular Joint Dysfunction Syndrome	1	2.0632192510535368
Asthenia	Joint Diseases	1	2.0632192510535368
Asthenia	Arthritis	3	6.18965775316061
Asthenia	Arthritis, Rheumatoid	2	4.1264385021070735
Asthenia	Still's Disease, Adult-Onset	1	2.0632192510535368
Asthenia	Osteoarthritis	1	2.0632192510535368
Asthenia	Contracture	1	2.0632192510535368
Asthenia	Muscular Diseases	40	82.52877004214147
Asthenia	Mitochondrial Myopathies	1	2.0632192510535368
Asthenia	MELAS Syndrome	1	2.0632192510535368
Asthenia	Muscle Cramp	3	6.18965775316061
Asthenia	Muscle Weakness	3	6.18965775316061
Asthenia	Muscular Dystrophies	3	6.18965775316061
Asthenia	Muscular Dystrophy, Oculopharyngeal	1	2.0632192510535368
Asthenia	Myositis	1	2.0632192510535368
Asthenia	Dermatomyositis	1	2.0632192510535368
Asthenia	Myotonia Congenita	1	2.0632192510535368
Asthenia	Polymyalgia Rheumatica	1	2.0632192510535368
Asthenia	Myoglobinuria	1	2.0632192510535368
Asthenia	Rheumatic Diseases	1	2.0632192510535368
Asthenia	Biliary Tract Diseases	1	2.0632192510535368
Asthenia	Biliary Dyskinesia	1	2.0632192510535368
Asthenia	Cholelithiasis	1	2.0632192510535368
Asthenia	Gallstones	1	2.0632192510535368
Asthenia	Cholecystitis	1	2.0632192510535368
Asthenia	Gastrointestinal Diseases	3	6.18965775316061
Asthenia	Deglutition Disorders	1	2.0632192510535368
Asthenia	CREST Syndrome	1	2.0632192510535368
Asthenia	Gastroesophageal Reflux	1	2.0632192510535368
Asthenia	Esophagitis	1	2.0632192510535368
Asthenia	Colitis, Ulcerative	1	2.0632192510535368
Asthenia	Gastritis	1	2.0632192510535368
Asthenia	Crohn Disease	3	6.18965775316061
Asthenia	Intestinal Diseases	1	2.0632192510535368
Asthenia	Cecal Diseases	1	2.0632192510535368
Asthenia	Irritable Bowel Syndrome	1	2.0632192510535368
Asthenia	Superior Mesenteric Artery Syndrome	1	2.0632192510535368
Asthenia	Peptic Ulcer	2	4.1264385021070735
Asthenia	Duodenal Ulcer	3	6.18965775316061
Asthenia	Intussusception	1	2.0632192510535368
Asthenia	Malabsorption Syndromes	3	6.18965775316061
Asthenia	Stomach Diseases	2	4.1264385021070735
Asthenia	Postgastrectomy Syndromes	3	6.18965775316061
Asthenia	Dumping Syndrome	1	2.0632192510535368
Asthenia	Liver Diseases	10	20.63219251053537
Asthenia	Drug-Induced Liver Injury	4	8.252877004214147
Asthenia	Fatty Liver	2	4.1264385021070735
Asthenia	Hepatitis	5	10.316096255267684
Asthenia	Hypertension, Portal	1	2.0632192510535368
Asthenia	Liver Cirrhosis	3	6.18965775316061
Asthenia	Cystic Fibrosis	1	2.0632192510535368
Asthenia	Exocrine Pancreatic Insufficiency	1	2.0632192510535368
Asthenia	Asthma	2	4.1264385021070735
Asthenia	Voice Disorders	1	2.0632192510535368
Asthenia	Lung Diseases	1	2.0632192510535368
Asthenia	Sarcoidosis, Pulmonary	1	2.0632192510535368
Asthenia	Wegener Granulomatosis	1	2.0632192510535368
Asthenia	Pulmonary Disease, Chronic Obstructive	1	2.0632192510535368
Asthenia	Pneumonia	2	4.1264385021070735
Asthenia	Paranasal Sinus Diseases	1	2.0632192510535368
Asthenia	Sinusitis	1	2.0632192510535368
Asthenia	Rhinitis, Allergic, Seasonal	2	4.1264385021070735
