source,target,type,subtype,final_layer_mean_attn,final_layer_max_attn
CACNB3,fu:bd379c39,gene_to_fu,,0.03846153989434242,0.03846153989434242
CACNB4,fu:bd379c39,gene_to_fu,,0.03846153989434242,0.03846153989434242
CACNG1,fu:bd379c39,gene_to_fu,,0.03846153989434242,0.03846153989434242
CACNA1I,fu:bd379c39,gene_to_fu,,0.03846153989434242,0.03846153989434242
CACNA1H,fu:bd379c39,gene_to_fu,,0.03846153989434242,0.03846153989434242
CACNA1G,fu:bd379c39,gene_to_fu,,0.03846153989434242,0.03846153989434242
CACNA2D2,fu:bd379c39,gene_to_fu,,0.03846153989434242,0.03846153989434242
CACNA2D4,fu:bd379c39,gene_to_fu,,0.03846153989434242,0.03846153989434242
NR4A1,fu:14d50a78,gene_to_fu,,0.5002309083938599,0.5011615753173828
MAPK7,fu:f05aba10,gene_to_fu,,0.5,0.5
MAP2K5,fu:faf1b7e0,gene_to_fu,,1.0,1.0
NLK,fu:db8a4a8a,gene_to_fu,,0.5001943111419678,0.501069962978363
CDC25B,fu:e45fbd5c,gene_to_fu,,0.5001903772354126,0.5009303092956543
RPS6KA4,fu:b8ada536,gene_to_fu,,0.3333818018436432,0.33360522985458374
RPS6KA5,fu:b8ada536,gene_to_fu,,0.3333818018436432,0.33360522985458374
MAPKAPK3,fu:8c7ba104,gene_to_fu,,0.33338186144828796,0.3336053788661957
MAPKAPK2,fu:8c7ba104,gene_to_fu,,0.33338186144828796,0.3336053788661957
ATF4,fu:7bca3a7b,gene_to_fu,,0.3336535096168518,0.33414214849472046
MEF2C,fu:f101a6f1,gene_to_fu,,0.5001904368400574,0.5009302496910095
MAX,fu:45df5340,gene_to_fu,,0.5001906156539917,0.5009301900863647
DDIT3,fu:dda08e08,gene_to_fu,,0.5001906156539917,0.5009301900863647
ELK4,fu:0a37beb9,gene_to_fu,,0.5001904964447021,0.5009302496910095
TP53,fu:31725aa3,gene_to_fu,,0.33358222246170044,0.33435800671577454
ELK1,fu:5fde3828,gene_to_fu,,0.33358222246170044,0.3343580365180969
