Ensembl.ID,Gene_name,log2FoldChange,padj
ENSG00000182534,MXRA7,-1.188180961,0.012952384
ENSG00000054598,FOXC1,-1.190732287,3.73E-05
ENSG00000174628,IQCK,-1.193349377,0.025273227
ENSG00000052802,MSMO1,-1.194442312,0.000631793
ENSG00000204186,ZDBF2,-1.196627711,0.012756726
ENSG00000205927,OLIG2,-1.197598177,0.01275525
ENSG00000153157,SYCP2L,-1.203639595,0.030163587
ENSG00000150627,WDR17,-1.207649215,0.038495723
ENSG00000198420,TCAF1,-1.212313257,0.0069451
ENSG00000145247,OCIAD2,-1.21659493,0.000985642
ENSG00000100154,TTC28,-1.218766203,0.027290043
ENSG00000166681,BEX3,-1.224047614,0.003865986
ENSG00000135862,LAMC1,-1.226060399,0.000759767
ENSG00000071539,TRIP13,-1.226123477,0.03857276
ENSG00000168036,CTNNB1,-1.228788727,8.71E-08
ENSG00000221988,PPT2,-1.228808599,0.009340743
ENSG00000125730,C3,-1.229162364,0.005986172
ENSG00000118200,CAMSAP2,-1.229470208,0.000159335
ENSG00000183578,TNFAIP8L3,-1.229896163,0.003779924
ENSG00000133121,STARD13,-1.236846405,0.046726312
ENSG00000162757,C1orf74,-1.237797682,0.032864683
ENSG00000075391,RASAL2,-1.237990918,0.000961469
ENSG00000123131,PRDX4,-1.244104817,1.17E-06
ENSG00000170264,FAM161A,-1.244934243,0.011258789
ENSG00000196584,XRCC2,-1.245862336,0.038774384
ENSG00000108641,B9D1,-1.250607194,0.002726147
ENSG00000069869,NEDD4,-1.256683077,3.76E-06
ENSG00000114923,SLC4A3,-1.256808525,4.80E-07
ENSG00000106462,EZH2,-1.256819544,6.83E-06
ENSG00000198732,SMOC1,-1.258474254,0.020950089
ENSG00000131747,TOP2A,-1.265203608,0.000610403
ENSG00000196754,S100A2,-1.278819477,8.03E-05
ENSG00000198363,ASPH,-1.280370954,5.18E-09
ENSG00000122966,CIT,-1.281988965,0.01128152
ENSG00000087077,TRIP6,-1.282000589,0.001713967
ENSG00000133131,MORC4,-1.284683624,0.011837175
ENSG00000197046,SIGLEC15,-1.284985076,0.000778358
ENSG00000094804,CDC6,-1.285938972,0.026146732
ENSG00000143079,CTTNBP2NL,-1.288954101,0.000273861
ENSG00000101447,FAM83D,-1.289843137,0.033999973
ENSG00000170456,DENND5B,-1.28998108,0.007098558
ENSG00000164066,INTU,-1.290282345,0.020443271
ENSG00000253250,C8orf88,-1.29147386,0.009455601
ENSG00000068137,PLEKHH3,-1.293001445,0.0207735
ENSG00000166348,USP54,-1.293911832,0.034245329
ENSG00000107957,SH3PXD2A,-1.298019644,0.001794211
ENSG00000167291,TBC1D16,-1.298056725,0.000679852
ENSG00000134853,PDGFRA,-1.29844225,0.003189644
ENSG00000171451,DSEL,-1.29908352,0.004536482
ENSG00000105559,PLEKHA4,-1.301276171,0.018833992
