id,label,full_label,type,logic,pathway
hsa:5533,PPP3CC,"PPP3CC, CALNA3, CNA3, PP2Bgamma; serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform isoform 2",gene,,path:hsa04010
hsa:5534,PPP3R1,"PPP3R1, CALNB1, CNB, CNB1; calcineurin subunit B type 1",gene,,path:hsa04010
hsa:5535,PPP3R2,"PPP3R2, PPP3RL; calcineurin subunit B type 2",gene,,path:hsa04010
fu:c9fb2f87,fu:c9fb2f87,,functional_unit,OR,path:hsa04010
hsa:23162,MAPK8IP3,"MAPK8IP3, JIP-3, JIP3, JSAP1, NEDBA, SYD2, syd; C-Jun-amino-terminal kinase-interacting protein 3 isoform 1",gene,,path:hsa04010
fu:d619f7e8,fu:d619f7e8,,functional_unit,SINGLE,path:hsa04010
hsa:2316,FLNA,"FLNA, ABP-280, ABPX, CSBS, CVD1, FGS2, FLN, FLN-A, FLN1, FMD, MNS, NHBP, OPD, OPD1, OPD2, XLVD, XMVD; filamin-A isoform 2",gene,,path:hsa04010
fu:5f5fbdbd,fu:5f5fbdbd,,functional_unit,SINGLE,path:hsa04010
hsa:4214,MAP3K1,"MAP3K1, MAPKKK1, MEKK, MEKK 1, MEKK1, SRXY6; mitogen-activated protein kinase kinase kinase 1",gene,,path:hsa04010
fu:634dd023,fu:634dd023,,functional_unit,SINGLE,path:hsa04010
hsa:1326,MAP3K8,"MAP3K8, AURA2, COT, EST, ESTF, MEKK8, TPL2, Tpl-2, c-COT; mitogen-activated protein kinase kinase kinase 8",gene,,path:hsa04010
fu:a89b6f8d,fu:a89b6f8d,,functional_unit,SINGLE,path:hsa04010
hsa:11184,MAP4K1,"MAP4K1, HPK1; mitogen-activated protein kinase kinase kinase kinase 1 isoform 2",gene,,path:hsa04010
fu:0d4bb414,fu:0d4bb414,,functional_unit,SINGLE,path:hsa04010
hsa:8491,MAP4K3,"MAP4K3, GLK, MAPKKKK3, MEKKK 3, MEKKK3, RAB8IPL1; mitogen-activated protein kinase kinase kinase kinase 3 isoform 1",gene,,path:hsa04010
fu:b1667507,fu:b1667507,,functional_unit,SINGLE,path:hsa04010
fu:7da5a68c,fu:7da5a68c,,functional_unit,SINGLE,path:hsa04010
